[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /api/health               --> fractal-engine/internal/api.(*Handler).Health-fm (4 handlers)
[GIN-debug] GET    /api/ready                --> fractal-engine/internal/api.(*Handler).Ready-fm (4 handlers)
[GIN-debug] GET    /api/info                 --> fractal-engine/internal/api.(*Handler).Info-fm (4 handlers)
[GIN-debug] GET    /api/status               --> fractal-engine/internal/api.(*Handler).Status-fm (4 handlers)
[GIN-debug] GET    /api/load/cpu             --> fractal-engine/internal/api.(*Handler).CPULoad-fm (4 handlers)
[GIN-debug] GET    /api/load/latency         --> fractal-engine/internal/api.(*Handler).LatencyLoad-fm (4 handlers)
[GIN-debug] GET    /api/load/mixed           --> fractal-engine/internal/api.(*Handler).MixedLoad-fm (4 handlers)
[GIN-debug] GET    /                         --> fractal-engine/internal/api.NewRouter.func1 (4 handlers)
time=2026-04-18T02:26:46.914+03:00 level=INFO msg="starting backend server" service=cloud-scaling-demo-api version=1.0.0 environment=development port=6543 pod=Sanctuary
time=2026-04-18T02:26:47.010+03:00 level=INFO msg="request completed" request_id=req-000001 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.010+03:00 level=INFO msg="request completed" request_id=req-000002 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.010+03:00 level=INFO msg="request completed" request_id=req-000003 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.010+03:00 level=INFO msg="request completed" request_id=req-000004 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.010+03:00 level=INFO msg="request completed" request_id=req-000005 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.031+03:00 level=INFO msg="request completed" request_id=req-000006 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.099+03:00 level=INFO msg="request completed" request_id=req-000007 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.100+03:00 level=INFO msg="request completed" request_id=req-000008 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.101+03:00 level=INFO msg="request completed" request_id=req-000009 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.101+03:00 level=INFO msg="request completed" request_id=req-000010 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.120+03:00 level=INFO msg="request completed" request_id=req-000011 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.271+03:00 level=INFO msg="request completed" request_id=req-000012 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.272+03:00 level=INFO msg="request completed" request_id=req-000013 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.272+03:00 level=INFO msg="request completed" request_id=req-000014 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.328+03:00 level=INFO msg="request completed" request_id=req-000015 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.328+03:00 level=INFO msg="request completed" request_id=req-000016 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.616+03:00 level=INFO msg="request completed" request_id=req-000017 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.618+03:00 level=INFO msg="request completed" request_id=req-000018 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.625+03:00 level=INFO msg="request completed" request_id=req-000019 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.627+03:00 level=INFO msg="request completed" request_id=req-000020 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.627+03:00 level=INFO msg="request completed" request_id=req-000021 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.633+03:00 level=INFO msg="request completed" request_id=req-000022 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.633+03:00 level=INFO msg="request completed" request_id=req-000023 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.661+03:00 level=INFO msg="request completed" request_id=req-000024 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.662+03:00 level=INFO msg="request completed" request_id=req-000025 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.662+03:00 level=INFO msg="request completed" request_id=req-000026 method=GET path=/api/status route=/api/status status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.684+03:00 level=INFO msg="request completed" request_id=req-000027 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.686+03:00 level=INFO msg="request completed" request_id=req-000028 method=GET path=/api/info route=/api/info status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.686+03:00 level=INFO msg="request completed" request_id=req-000029 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
time=2026-04-18T02:26:47.719+03:00 level=INFO msg="request completed" request_id=req-000030 method=GET path=/api/health route=/api/health status=200 duration_ms=0 pod=Sanctuary client_ip=::1
